Price,Gross_Square_Meter,Number_of_rooms,Building_Age,Heating_Type,District
1722000.00,100,1,0_5,Central,Beykoz
1030000.00,65,1,0_5,Non Central,Sisli
1020000.00,65,1,0_5,Non Central,Kadikoy
1000000.00,80,1,0_5,Central,Sisli
985000.00,71,1,0_5,Central,Beyoglu
975000.00,70,1,0_5,Central,Beyoglu
950000.00,123,1,0_5,Non Central,Cekmekoy
950000.00,85,1,0_5,Central,Kadikoy
950000.00,61,1,0_5,Central,Bakirkoy
925000.00,75,1,0_5,Central,Beyoglu
899000.00,58,1,0_5,Central,Besiktas
850000.00,80,1,0_5,Central,Beyoglu
850000.00,80,1,0_5,Central,Beyoglu
850000.00,59,1,0_5,Central,Besiktas
850000.00,59,1,0_5,Central,Besiktas
850000.00,59,1,0_5,Non Central,Besiktas
845000.00,103,1,0_5,Central,Bakirkoy
830000.00,70,1,0_5,Non Central,Eyupsultan
825000.00,71,1,0_5,Non Central,Kadikoy
800000.00,116,1,0_5,Central,Bagcilar
800000.00,75,1,0_5,Non Central,Beyoglu
795000.00,61,1,0_5,Central,Bakirkoy
770000.00,97,1,0_5,Central,Bakirkoy
750000.00,90,1,0_5,Central,Basaksehir
750000.00,85,1,0_5,Non Central,Beyoglu
750000.00,80,1,0_5,Non Central,Sisli
750000.00,74,1,0_5,Central,Beyoglu
749000.00,75,1,0_5,Non Central,Beyoglu
745000.00,50,1,0_5,Central,Gungoren
700000.00,90,1,0_5,Central,Basaksehir
700000.00,65,1,0_5,Central,Beyoglu
700000.00,64,1,0_5,Central,Kagithane
700000.00,60,1,0_5,Central,Eyupsultan
700000.00,60,1,0_5,Non Central,Kagithane
685900.00,75,1,0_5,Central,Kucukcekmece
685000.00,60,1,0_5,Central,Kadikoy
680000.00,90,1,0_5,Central,Bagcilar
680000.00,90,1,0_5,Central,Basaksehir
666000.00,75,1,0_5,Central,Kartal
650000.00,75,1,0_5,Non Central,Beyoglu
650000.00,65,1,0_5,Non Central,Besiktas
640000.00,95,1,0_5,Central,Gaziosmanpasa
630000.00,83,1,0_5,Central,Basaksehir
630000.00,75,1,0_5,Non Central,Eyupsultan
630000.00,71,1,0_5,Central,Zeytinburnu
630000.00,70,1,0_5,Central,Kadikoy
630000.00,66,1,0_5,Non Central,Sisli
627000.00,115,1,0_5,Central,Kartal
620000.00,89,1,0_5,Central,Kucukcekmece
620000.00,83,1,0_5,Central,Basaksehir
620000.00,71,1,0_5,Central,Zeytinburnu
610000.00,68,1,0_5,Central,Eyupsultan
610000.00,56,1,0_5,Non Central,Sisli
610000.00,54,1,0_5,Central,Bakirkoy
600000.00,50,1,0_5,Central,Kartal
600000.00,50,1,0_5,Central,Kartal
595000.00,65,1,0_5,Non Central,Besiktas
595000.00,50,1,0_5,Non Central,Besiktas
575000.00,58,1,0_5,Central,Eyupsultan
565000.00,85,1,0_5,Non Central,Kadikoy
565000.00,65,1,0_5,Central,Eyupsultan
565000.00,65,1,0_5,Central,Kadikoy
560000.00,103,1,0_5,Central,Kucukcekmece
550000.00,90,1,0_5,Central,Kucukcekmece
550000.00,85,1,0_5,Non Central,Eyupsultan
550000.00,80,1,0_5,Non Central,Eyupsultan
550000.00,79,1,0_5,Central,Gaziosmanpasa
550000.00,68,1,0_5,Central,Esenyurt
550000.00,60,1,0_5,Non Central,Besiktas
550000.00,60,1,0_5,Non Central,Kagithane
549000.00,91,1,0_5,Central,Kartal
549000.00,91,1,0_5,Central,Kartal
549000.00,65,1,0_5,Non Central,Beyoglu
543000.00,73,1,0_5,Central,Avcilar
540000.00,80,1,0_5,Non Central,Kadikoy
530000.00,90,1,0_5,Central,Kucukcekmece
530000.00,77,1,0_5,Central,Bagcilar
530000.00,75,1,0_5,Non Central,Bahcelievler
525000.00,61,1,0_5,Central,Kadikoy
525000.00,61,1,0_5,Central,Kadikoy
520000.00,165,1,0_5,Non Central,Bayrampasa
520000.00,74,1,0_5,Central,Kucukcekmece
520000.00,47,1,0_5,Central,Bahcelievler
510000.00,75,1,0_5,Central,Avcilar
510000.00,55,1,0_5,Central,Bakirkoy
505000.00,67,1,0_5,Central,Bahcelievler
500000.00,84,1,0_5,Central,Kucukcekmece
500000.00,65,1,0_5,Non Central,Kadikoy
500000.00,60,1,0_5,Central,Zeytinburnu
500000.00,55,1,0_5,Central,Bakirkoy
495000.00,155,1,0_5,Central,Kartal
495000.00,47,1,0_5,Central,Bahcelievler
490000.00,83,1,0_5,Central,Esenyurt
490000.00,77,1,0_5,Non Central,Atasehir
490000.00,75,1,0_5,Central,Kadikoy
490000.00,43,1,0_5,Non Central,Kadikoy
485000.00,79,1,0_5,Central,Kucukcekmece
480000.00,85,1,0_5,Central,Bagcilar
480000.00,75,1,0_5,Non Central,Bahcelievler
480000.00,65,1,0_5,Central,Atasehir
475000.00,60,1,0_5,Non Central,Kadikoy
475000.00,55,1,0_5,Central,Kadikoy
475000.00,55,1,0_5,Central,Kadikoy
470000.00,77,1,0_5,Central,Bagcilar
465000.00,82,1,0_5,Central,Kucukcekmece
465000.00,68,1,0_5,Non Central,Kadikoy
465000.00,60,1,0_5,Non Central,Kadikoy
460000.00,75,1,0_5,Central,Uskudar
460000.00,70,1,0_5,Central,Kagithane
460000.00,70,1,0_5,Central,Kagithane
460000.00,70,1,0_5,Central,Kagithane
458000.00,81,1,0_5,Central,Kadikoy
455000.00,55,1,0_5,Non Central,Kagithane
450000.00,120,1,0_5,Non Central,Kagithane
450000.00,84,1,0_5,Central,Bagcilar
450000.00,84,1,0_5,Central,Kucukcekmece
450000.00,84,1,0_5,Central,Kucukcekmece
450000.00,75,1,0_5,Non Central,Bahcelievler
450000.00,75,1,0_5,Central,Kartal
450000.00,74,1,0_5,Central,Kucukcekmece
450000.00,74,1,0_5,Central,Kucukcekmece
450000.00,74,1,0_5,Central,Kucukcekmece
450000.00,74,1,0_5,Central,Kucukcekmece
450000.00,74,1,0_5,Central,Kucukcekmece
450000.00,70,1,0_5,Central,Besiktas
450000.00,60,1,0_5,Central,Zeytinburnu
450000.00,55,1,0_5,Central,Atasehir
446000.00,71,1,0_5,Central,Pendik
445000.00,62,1,0_5,Central,Kartal
443000.00,82,1,0_5,Non Central,Kartal
443000.00,82,1,0_5,Central,Kartal
443000.00,82,1,0_5,Central,Kartal
443000.00,82,1,0_5,Non Central,Kartal
440000.00,120,1,0_5,Central,Bagcilar
440000.00,100,1,0_5,Central,Kucukcekmece
440000.00,83,1,0_5,Central,Bagcilar
440000.00,74,1,0_5,Central,Kucukcekmece
440000.00,50,1,0_5,Central,Eyupsultan
439000.00,56,1,0_5,Central,Atasehir
435000.00,83,1,0_5,Central,Bahcelievler
430000.00,101,1,0_5,Central,Kucukcekmece
430000.00,75,1,0_5,Non Central,Beykoz
430000.00,64,1,0_5,Central,Basaksehir
425000.00,146,1,0_5,Central,Basaksehir
425000.00,114,1,0_5,Central,Sancaktepe
425000.00,88,1,0_5,Non Central,Sisli
425000.00,85,1,0_5,Central,Kucukcekmece
425000.00,85,1,0_5,Central,Kucukcekmece
425000.00,75,1,0_5,Non Central,Bakirkoy
425000.00,80,1,0_5,Central,Pendik
425000.00,74,1,0_5,Central,Kucukcekmece
425000.00,62,1,0_5,Central,Esenler
425000.00,62,1,0_5,Central,Eyupsultan
425000.00,60,1,0_5,Central,Bakirkoy
425000.00,48,1,0_5,Central,Zeytinburnu
424999.00,140,1,0_5,Central,Basaksehir
420000.00,83,1,0_5,Central,Bagcilar
420000.00,80,1,0_5,Central,Kucukcekmece
